an'niu 按钮
shou'ru 收入
shou'xian 首先
shu'biao 鼠标
shu'ju 数据
shu'liang 数量
shua'xin 刷新
shui'jiao 睡觉
shui'ping 水平
shuo'chu 说出
sou'suo 搜索
sui'ran 虽然
suo'yi 所以
tai'du 态度
tan'chuang 弹窗
tao'lun 讨论
te'bie 特别
ti'sheng 提升
ti'xing 提醒
ti'yan 体验
tian'qi 天气
tiao'jian 条件
tiao'kuan 条款
tiao'zhan 挑战
tiao'zheng 调整
tong'guo 通过
tong'qin 通勤
tong'shi 同事
tong'shi 同时
tong'xue 同学
tong'yang 同样
tong'yi 同意
tong'zhi 通知
tou'teng 头疼
tu'biao 图标
tu'pian 图片
tu'ran 突然
tui'chu 退出
wai'mian 外面
wan'cheng 完成
wan'quan 完全
wan'zheng 完整
wang'luo 网络
wei'hu 维护
wei'zhi 位置
wen'dang 文档
wen'ding 稳定
wen'du 温度
wen'hua 文化
wen'jian 文件
wen'ti 问题
wu'liao 无聊
wu'lun 无论
xi'jie 细节
xi'tong 系统
xi'wang 希望
xi'zao 洗澡
xia'ban 下班
xia'lai 下来
xia'qu 下去
xia'xue 下雪
xia'yu 下雨
xia'zai 下载
xian'cheng 线程
xian'sheng 先生
xian'zai 现在
xiang'chu 想出
xiang'fa 想法
xiang'mu 项目
xiang'si 相似
xiang'xi 详细
xiang'ying 响应
xiao'guo 效果
xiao'lv 效率
xiao'xi 消息
xie'yi 协议
xie'zai 卸载
xin'qing 心情
xin'xi 信息
xing'neng 性能
xing'shi 形式
xiu'gai 修改
xiu'xi 休息
xu'duo 许多
xu'qiu 需求
xuan'ze 选择
xue'sheng 学生
xue'xi 学习
ya'li 压力
yan'chi 延迟
yan'jiu 研究
yan'zheng 验证
yang'shi 样式
yao'dian 药店
yao'qiu 要求
ye'mian 页面
yi'ban 一般
yi'jian 意见
yi'jing 已经
yi'wai 意外
yi'zhi 一直
yin'pin 音频
yin'wei 因为
yin'xiang 印象
yin'yue 音乐
ying'jian 硬件
ying'xiang 影响
yong'hu 用户
you'hua 优化
you'hui 优惠
you'jian 邮件
you'qu 有趣
you'xi 游戏
you'yu 由于
yu'suan 预算
yuan'gong 员工
yuan'yin 原因
yun'dong 运动
zeng'jia 增加
zhan'tie 粘贴
zhang'hao 账号
zhao'ji 着急
zhe'kou 折扣
zheng'ce 政策
zheng'chang 正常
zheng'que 正确
zheng'zai 正在
zhi'chi 支持
zhi'chu 支出
zhi'du 制度
zhi'liang 质量
zhi'shi 只是
zhi'shi 知识
zhi'yao 只要
zhi'you 只有
zhi'ze 职责
zhong'dian 重点
zhong'jian 中间
zhong'yao 重要
zhou'wei 周围
zhu'ti 主题
zhu'yao 主要
zhuang'tai 状态
zhun'bei 准备
zhun'que 准确
zi'ji 自己
zi'ti 字体
zi'yuan 资源
zong'jie 总结
zong'shi 总是
zu'gou 足够
zu'jian 组件
zui'hou 最后
zuo'chu 做出
zuo'tian 昨天
